resource;service;sku;usage_start_time;usage_end_time;project;labels;system_labels;export_time;cost;currency;currency_conversion_rate;usage;credits;cost_type;date
"{""name"":""gke-test-cluster-1-default-pool-fc58728f-uxdk"",""global_name"":""//compute.googleapis.com/projects/112567877568/zones/us-central1-c/instances/5783682476682384348""}";"{""id"":""6F81-5844-456A"",""description"":""Compute Engine""}";"{""id"":""D72A-E5E4-973E"",""description"":""Network Inter Region Ingress from Finland to Americas""}";2022-09-09 22:00:00;2022-09-09 23:00:00;"{""id"":""astute-atlas-257820"",""number"":""112567877568"",""name"":""My First Project"",""labels"":[],""ancestry_numbers"":""/343005600971/"",""ancestors"":[{""resource_name"":""projects/112567877568"",""display_name"":""My First Project""},{""resource_name"":""organizations/343005600971"",""display_name"":""pileuscloud.com.appstempdomain.goog""}]}";"[{""key"":""goog-gke-node"",""value"":null},{""key"":""test_label"",""value"":""test_label_value""}]";[];2022-09-11 02:09:05;0.0;ILS;3.318700000002986;{'amount': 40.0, 'unit': 'bytes', 'amount_in_pricing_units': 3.7e-08, 'pricing_unit': 'gibibyte'};[];regular;2022-09-09
"{""name"":""gke-test-cluster-1-default-pool-fc58728f-uxdk"",""global_name"":""//compute.googleapis.com/projects/112567877568/zones/us-central1-c/instances/5783682476682384348""}";"{""id"":""6F81-5844-456A"",""description"":""Compute Engine""}";"{""id"":""C2F8-6C2C-1847"",""description"":""Network Inter Region Egress from Americas to Netherlands""}";2022-09-04 12:00:00;2022-09-04 13:00:00;"{""id"":""astute-atlas-257820"",""number"":""112567877568"",""name"":""My First Project"",""labels"":[],""ancestry_numbers"":""/343005600971/"",""ancestors"":[{""resource_name"":""projects/112567877568"",""display_name"":""My First Project""},{""resource_name"":""organizations/343005600971"",""display_name"":""pileuscloud.com.appstempdomain.goog""}]}";"[{""key"":""goog-gke-node"",""value"":null},{""key"":""test_label"",""value"":""test_label_value""}]";[];2022-09-06 03:09:15;0.0;ILS;3.318700000002986;{'amount': 40.0, 'unit': 'bytes', 'amount_in_pricing_units': 3.7e-08, 'pricing_unit': 'gibibyte'};[];regular;2022-09-04
"{""name"":""gke-test-cluster-1-default-pool-fc58728f-t526"",""global_name"":""//compute.googleapis.com/projects/112567877568/zones/us-central1-c/instances/5740668641205949179""}";"{""id"":""6F81-5844-456A"",""description"":""Compute Engine""}";"{""id"":""D72A-E5E4-973E"",""description"":""Network Inter Region Ingress from Finland to Americas""}";2022-09-12 20:00:00;2022-09-12 21:00:00;"{""id"":""astute-atlas-257820"",""number"":""112567877568"",""name"":""My First Project"",""labels"":[],""ancestry_numbers"":""/343005600971/"",""ancestors"":[{""resource_name"":""projects/112567877568"",""display_name"":""My First Project""},{""resource_name"":""organizations/343005600971"",""display_name"":""pileuscloud.com.appstempdomain.goog""}]}";"[{""key"":""goog-gke-node"",""value"":null},{""key"":""test_label"",""value"":""test_label_value""}]";[];2022-09-13 14:13:04;0.0;ILS;3.318700000002986;{'amount': 40.0, 'unit': 'bytes', 'amount_in_pricing_units': 3.7e-08, 'pricing_unit': 'gibibyte'};[];regular;2022-09-12
"{""name"":""instance-1"",""global_name"":""//compute.googleapis.com/projects/112567877568/zones/us-central1-a/instances/5729041948985171494""}";"{""id"":""6F81-5844-456A"",""description"":""Compute Engine""}";"{""id"":""D72A-E5E4-973E"",""description"":""Network Inter Region Ingress from Finland to Americas""}";2022-09-04 03:00:00;2022-09-04 04:00:00;"{""id"":""astute-atlas-257820"",""number"":""112567877568"",""name"":""My First Project"",""labels"":[],""ancestry_numbers"":""/343005600971/"",""ancestors"":[{""resource_name"":""projects/112567877568"",""display_name"":""My First Project""},{""resource_name"":""organizations/343005600971"",""display_name"":""pileuscloud.com.appstempdomain.goog""}]}";[];[];2022-09-05 01:39:07;0.0;ILS;3.318700000002986;{'amount': 40.0, 'unit': 'bytes', 'amount_in_pricing_units': 3.7e-08, 'pricing_unit': 'gibibyte'};[];regular;2022-09-04
"{""name"":""gke-test-cluster-1-default-pool-fc58728f-uxdk"",""global_name"":""//compute.googleapis.com/projects/112567877568/zones/us-central1-c/instances/5783682476682384348""}";"{""id"":""6F81-5844-456A"",""description"":""Compute Engine""}";"{""id"":""B62C-9514-EC43"",""description"":""Network Inter Region Egress from Americas to Sao Paulo""}";2022-09-04 06:00:00;2022-09-04 07:00:00;"{""id"":""astute-atlas-257820"",""number"":""112567877568"",""name"":""My First Project"",""labels"":[],""ancestry_numbers"":""/343005600971/"",""ancestors"":[{""resource_name"":""projects/112567877568"",""display_name"":""My First Project""},{""resource_name"":""organizations/343005600971"",""display_name"":""pileuscloud.com.appstempdomain.goog""}]}";"[{""key"":""goog-gke-node"",""value"":null},{""key"":""test_label"",""value"":""test_label_value""}]";[];2022-09-05 01:39:07;0.0;ILS;3.318700000002986;{'amount': 2669.0, 'unit': 'bytes', 'amount_in_pricing_units': 2.486e-06, 'pricing_unit': 'gibibyte'};[];regular;2022-09-04
"{""name"":""instance-1"",""global_name"":""//compute.googleapis.com/projects/112567877568/zones/us-central1-a/instances/5729041948985171494""}";"{""id"":""6F81-5844-456A"",""description"":""Compute Engine""}";"{""id"":""B62C-9514-EC43"",""description"":""Network Inter Region Egress from Americas to Sao Paulo""}";2022-09-02 22:00:00;2022-09-02 23:00:00;"{""id"":""astute-atlas-257820"",""number"":""112567877568"",""name"":""My First Project"",""labels"":[],""ancestry_numbers"":""/343005600971/"",""ancestors"":[{""resource_name"":""projects/112567877568"",""display_name"":""My First Project""},{""resource_name"":""organizations/343005600971"",""display_name"":""pileuscloud.com.appstempdomain.goog""}]}";[];[];2022-09-04 02:09:30;0.0;ILS;3.318700000002986;{'amount': 2135.0, 'unit': 'bytes', 'amount_in_pricing_units': 1.988e-06, 'pricing_unit': 'gibibyte'};[];regular;2022-09-02
"{""name"":""instance-1"",""global_name"":""//compute.googleapis.com/projects/112567877568/zones/us-central1-a/instances/5729041948985171494""}";"{""id"":""6F81-5844-456A"",""description"":""Compute Engine""}";"{""id"":""4120-E8FB-841B"",""description"":""Network Inter Region Egress from Americas to Mumbai""}";2022-09-05 01:00:00;2022-09-05 02:00:00;"{""id"":""astute-atlas-257820"",""number"":""112567877568"",""name"":""My First Project"",""labels"":[],""ancestry_numbers"":""/343005600971/"",""ancestors"":[{""resource_name"":""projects/112567877568"",""display_name"":""My First Project""},{""resource_name"":""organizations/343005600971"",""display_name"":""pileuscloud.com.appstempdomain.goog""}]}";[];[];2022-09-06 03:09:15;0.0;ILS;3.318700000002986;{'amount': 2135.0, 'unit': 'bytes', 'amount_in_pricing_units': 1.988e-06, 'pricing_unit': 'gibibyte'};[];regular;2022-09-05
"{""name"":""gke-test-cluster-1-default-pool-fc58728f-t526"",""global_name"":""//compute.googleapis.com/projects/112567877568/zones/us-central1-c/instances/5740668641205949179""}";"{""id"":""6F81-5844-456A"",""description"":""Compute Engine""}";"{""id"":""7618-3912-3F75"",""description"":""Network Inter Region Egress from Americas to London""}";2022-09-04 05:00:00;2022-09-04 06:00:00;"{""id"":""astute-atlas-257820"",""number"":""112567877568"",""name"":""My First Project"",""labels"":[],""ancestry_numbers"":""/343005600971/"",""ancestors"":[{""resource_name"":""projects/112567877568"",""display_name"":""My First Project""},{""resource_name"":""organizations/343005600971"",""display_name"":""pileuscloud.com.appstempdomain.goog""}]}";"[{""key"":""goog-gke-node"",""value"":null},{""key"":""test_label"",""value"":""test_label_value""}]";[];2022-09-05 01:39:07;0.0;ILS;3.318700000002986;{'amount': 40.0, 'unit': 'bytes', 'amount_in_pricing_units': 3.7e-08, 'pricing_unit': 'gibibyte'};[];regular;2022-09-04
"{""name"":""gke-test-cluster-1-default-pool-fc58728f-uxdk"",""global_name"":""//compute.googleapis.com/projects/112567877568/zones/us-central1-c/instances/5783682476682384348""}";"{""id"":""6F81-5844-456A"",""description"":""Compute Engine""}";"{""id"":""D72A-E5E4-973E"",""description"":""Network Inter Region Ingress from Finland to Americas""}";2022-09-03 15:00:00;2022-09-03 21:00:00;"{""id"":""astute-atlas-257820"",""number"":""112567877568"",""name"":""My First Project"",""labels"":[],""ancestry_numbers"":""/343005600971/"",""ancestors"":[{""resource_name"":""projects/112567877568"",""display_name"":""My First Project""},{""resource_name"":""organizations/343005600971"",""display_name"":""pileuscloud.com.appstempdomain.goog""}]}";"[{""key"":""goog-gke-node"",""value"":null},{""key"":""test_label"",""value"":""test_label_value""}]";[];2022-09-05 01:39:07;0.0;ILS;3.318700000002986;{'amount': 80.0, 'unit': 'bytes', 'amount_in_pricing_units': 7.4e-08, 'pricing_unit': 'gibibyte'};[];regular;2022-09-03
"{""name"":""gke-test-cluster-1-default-pool-fc58728f-t526"",""global_name"":""//compute.googleapis.com/projects/112567877568/zones/us-central1-c/instances/5740668641205949179""}";"{""id"":""6F81-5844-456A"",""description"":""Compute Engine""}";"{""id"":""4120-E8FB-841B"",""description"":""Network Inter Region Egress from Americas to Mumbai""}";2022-09-06 03:00:00;2022-09-06 04:00:00;"{""id"":""astute-atlas-257820"",""number"":""112567877568"",""name"":""My First Project"",""labels"":[],""ancestry_numbers"":""/343005600971/"",""ancestors"":[{""resource_name"":""projects/112567877568"",""display_name"":""My First Project""},{""resource_name"":""organizations/343005600971"",""display_name"":""pileuscloud.com.appstempdomain.goog""}]}";"[{""key"":""goog-gke-node"",""value"":null},{""key"":""test_label"",""value"":""test_label_value""}]";[];2022-09-08 03:09:10;0.0;ILS;3.318700000002986;{'amount': 2669.0, 'unit': 'bytes', 'amount_in_pricing_units': 2.486e-06, 'pricing_unit': 'gibibyte'};[];regular;2022-09-06
